PMID,Title,Authors,Journal,Year,Has_NonAcademic_Author,Affiliations
40727077,FMRP silencing via siRNA lipid nanoparticles to reprogram the tumor microenvironment and enhance anti-PD-1 efficacy in triple-negative breast cancer.,Letian Bai; Xinyan Hao; Wenjie Xu; Hai Huang; Mengen Guo; Yanwen Zhang; Daxiong Xiang; Guoping Yang; Junyong Wu; Chuanpin Chen,Materials today. Bio,2025,True,"Department of Pharmacy, Xiangya School of Pharmaceutical Sciences, Central South University, Changsha, 410013, China.; Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, China.; Institute of Clinical Pharmacy, Central South University, Changsha, 410011, China.; Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, China.; Institute of Clinical Pharmacy, Central South University, Changsha, 410011, China.; Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, China.; Institute of Clinical Pharmacy, Central South University, Changsha, 410011, China.; Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, China.; Institute of Clinical Pharmacy, Central South University, Changsha, 410011, China.; Department of Pharmacy, Xiangya School of Pharmaceutical Sciences, Central South University, Changsha, 410013, China.; Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, China.; Institute of Clinical Pharmacy, Central South University, Changsha, 410011, China.; Center of Clinical Pharmacology, the Third Xiangya Hospital, Central South University, Changsha, 410003, China.; Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, 410011, China.; Institute of Clinical Pharmacy, Central South University, Changsha, 410011, China.; Department of Orthopedics, The Second Xiangya Hospital, Central South University, Changsha, China.; Department of Pharmacy, Xiangya School of Pharmaceutical Sciences, Central South University, Changsha, 410013, China."
40727009,"Comparative safety and efficacy of oncolytic virotherapy for the treatment of individuals with malignancies: a systematic review, meta-analysis, and Bayesian network meta-analysis.",Poyee Lau; Long Liang; Xiang Chen; Jianglin Zhang; Hong Liu,EClinicalMedicine,2025,False,"The First Affiliated Hospital (Shenzhen People's Hospital), Southern University of Science and Technology, Shenzhen, 518055, China.; Department of Dermatology, Xiangya Hospital, Central South University, Changsha, 410008, China.; Medical Genetics & School of Life Sciences, Central South University, Changsha, 410078, China.; Department of Dermatology, Xiangya Hospital, Central South University, Changsha, 410008, China.; Hunan Key Laboratory of Skin Cancer and Psoriasis, Hunan Engineering Research Center of Skin Health and Disease, Xiangya Clinical Research Center for Cancer Immunotherapy, Furong Laboratory, Central South University, Changsha, 410008, China.; The First Affiliated Hospital (Shenzhen People's Hospital), Southern University of Science and Technology, Shenzhen, 518055, China.; Department of Dermatology, Xiangya Hospital, Central South University, Changsha, 410008, China.; Hunan Key Laboratory of Skin Cancer and Psoriasis, Hunan Engineering Research Center of Skin Health and Disease, Xiangya Clinical Research Center for Cancer Immunotherapy, Furong Laboratory, Central South University, Changsha, 410008, China."
40726982,Spotlight on nuclear PD-L1 in ovarian cancer chemoresistance: hidden but mighty.,Meshach Asare-Werehene; Arvin Zaker; Shivanshi Tripathi; Laudine Communal; Euridice Carmona; Anne-Marie Mes-Masson; Benjamin K Tsang; Arvind Mer,Frontiers in immunology,2025,False,"Department of Obstetrics & Gynecology, University of Ottawa, Ottawa, ON, Canada.; Department of Cellular and Molecular Medicine & The Centre for Infection, Immunity and Inflammation (CI3), Faculty of Medicine, University of Ottawa, Ottawa, ON, Canada.; Inflammation and Chronic Disease Program, Ottawa Hospital Research Institute, Ottawa, ON, Canada.; Department of Laboratory Medicine and Pathobiology, University of Toronto, Ottawa, ON, Canada.; Department of Biochemistry, Immunology and Microbiology, University of Ottawa, Ottawa, ON, Canada.; Department of Biochemistry, Immunology and Microbiology, University of Ottawa, Ottawa, ON, Canada.; Centre de recherche du CHUM et Institut du cancer de Montréal, Département de médicine, Université de Montréal, Montréal, QC, Canada.; Centre de recherche du CHUM et Institut du cancer de Montréal, Département de médicine, Université de Montréal, Montréal, QC, Canada.; Centre de recherche du CHUM et Institut du cancer de Montréal, Département de médicine, Université de Montréal, Montréal, QC, Canada.; Department of Obstetrics & Gynecology, University of Ottawa, Ottawa, ON, Canada.; Department of Cellular and Molecular Medicine & The Centre for Infection, Immunity and Inflammation (CI3), Faculty of Medicine, University of Ottawa, Ottawa, ON, Canada.; Inflammation and Chronic Disease Program, Ottawa Hospital Research Institute, Ottawa, ON, Canada.; Department of Biochemistry, Immunology and Microbiology, University of Ottawa, Ottawa, ON, Canada.; School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, ON, Canada.; Ottawa Institute of Systems Biology, University of Ottawa, Ottawa, ON, Canada."
40726981,tRNA-derived small RNA 3' tRF-Ala CGC obstructs NK cytotoxicity via cleavage of membrane protein MICA in colorectal cancer.,Jing Zhang; Chunlin Ou; Xin Li; Li Fu; Qizhi Luo; Jie Wang; Yizhou Zou,Frontiers in immunology,2025,False,"Department of Immunology, Xiangya School of Basic Medicine, Central South University, Changsha, Hunan, China.; Department of Pathology, Xiangya Hospital, Central South University, Changsha, Hunan, China.; Department of Immunology, Xiangya School of Basic Medicine, Central South University, Changsha, Hunan, China.; Department of Immunology, Xiangya School of Basic Medicine, Central South University, Changsha, Hunan, China.; Department of Immunology, Xiangya School of Basic Medicine, Central South University, Changsha, Hunan, China.; Department of Immunology, Xiangya School of Basic Medicine, Central South University, Changsha, Hunan, China.; Department of Immunology, Xiangya School of Basic Medicine, Central South University, Changsha, Hunan, China."
40726978,Real-world data of cadonilimab in recurrent or metastatic cervical cancer in China: a multicentric study.,Jian Chen; Haijuan Yu; Yingtao Lin; Dan Hu; Li Liu; Renliang Fan; Jianping Zou; Lele Zang; Yao Lin; Rong Lin; Dezhao Chen; Xiaoying Weng; Fenfang Shen; Shaoyu Wang; Wei Zeng; Qihua Tian; Yun Yi; Yuanfeng Chen; Jinjin Miao; Bo Zhang; Yinxia Zou; Fengming Gao; Rong Lian; Lin Yang; Yang Sun,Frontiers in immunology,2025,True,"Department of Gynecology, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, China.; Department of Gynecology, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, China.; Department of Clinical Medical Research Center, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, China.; Department of Pathology, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, China.; Department of Gynecology, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, China.; Department of Oncology, Fujian Medical University Affiliated Nanping First Hospital, Nanping, China.; Department of Gynecology, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, China.; Department of Gynecology, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, China.; Department of Obstetrics and Gynecology, The First Hospital Affiliated to Fujian Medical University, Fuzhou, China.; Department of Obstetrics and Gynecology, Fujian Provincial Hospital, Fuzhou, China.; Department of Obstetrics and Gynecology, Fujian Medical University Union Hospital, Fuzhou, China.; Department of Obstetrics and Gynecology, Fujian Provincial Hospital, Fuzhou, China.; Department of Obstetrics and Gynecology, Fujian Provincial Hospital, Fuzhou, China.; Department of Obstetrics and Gynecology, The First Hospital Affiliated to Fujian Medical University, Fuzhou, China.; Department of Obstetrics and Gynecology, Gutian Hospital, Ningde, China.; Department of Gynecology, People's Hospital Affiliated to Fujian University of Traditional Chinese Medicine, Fuzhou, China.; Department of Gynecology, Jiangxi Cancer Hospital, Nanchang, China.; Department of Gynecology, Shunde Women and Children's Hospital (Maternity and Child Healthcare Hospital of Shunde Foshan), Guangdong Medical University, Foshan, China.; Department of Obstetrics and Gynecology, Lianyungang Donghai County People's Hospital, Lianyungang, China.; Department of Gynecology, Changsha Maternal and Child Health Hospital, Changsha, China.; Department of Gynecology, Pingxiang Maternal and Child Health Hospital, Pingxiang, China.; Department of Obstetrics and Gynecology, The First Hospital Affiliated to Fujian Medical University, Fuzhou, China.; Department of Obstetrics and Gynecology, Huinan County People's Hospital, Huinan, China.; Beijing GenePlus Technology Co. Ltd., Beijing, China.; Department of Gynecology, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, China.; Department of Gynecology, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Fuzhou, China."
40726819,Immunotherapy in Gastrointestinal Cancers: Current Insights.,Xue Jiang; Yangyang Zhan; Dong-Hua Yang; Leilei Bao,Clinical pharmacology : advances and applications,2025,True,"Department of Pharmacy, Shanghai Eastern Hepatobiliary Surgery Hospital, Shanghai, 200438, People's Republic of China.; Department of Pharmacy, Shanghai Eastern Hepatobiliary Surgery Hospital, Shanghai, 200438, People's Republic of China.; New York College of Traditional Chinese Medicine, Mineola, New York, USA.; Department of Pharmacy, Shanghai Eastern Hepatobiliary Surgery Hospital, Shanghai, 200438, People's Republic of China."
40726603,Low Occurrence of Ocular Adverse Events after CAR-T Cell Therapy.,Tara Murty; Karen M Wai; Ehsan Rahimy; Prithvi Mruthyunjaya,Ocular oncology and pathology,2025,False,"Byers Eye Institute, Stanford University, Palo Alto, CA, USA.; Byers Eye Institute, Stanford University, Palo Alto, CA, USA.; Byers Eye Institute, Stanford University, Palo Alto, CA, USA.; Byers Eye Institute, Stanford University, Palo Alto, CA, USA."
40726143,Prolonged Release of Bacillus Calmette-Guérin by Floating Microbubbles to Enhance Intravesical Immunotherapy for Bladder Cancer.,Tianmin Tang; Shuying Kong; Junyi Xie; Qiurong Deng; Cong Lai; Shuanshuan Guo; Hao Yu; Jianhua Zhou,ACS nano,2025,False,"School of Biomedical Engineering, Shenzhen Campus of Sun Yat-Sen University, Shenzhen 518107, China.; School of Biomedical Engineering, Shenzhen Campus of Sun Yat-Sen University, Shenzhen 518107, China.; School of Biomedical Engineering, Shenzhen Campus of Sun Yat-Sen University, Shenzhen 518107, China.; School of Biomedical Engineering, Shenzhen Campus of Sun Yat-Sen University, Shenzhen 518107, China.; Department of Urology, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou 510000, China.; School of Biomedical Engineering, Shenzhen Campus of Sun Yat-Sen University, Shenzhen 518107, China.; Department of Urology, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou 510000, China.; School of Biomedical Engineering, Shenzhen Campus of Sun Yat-Sen University, Shenzhen 518107, China."
40726089,Inhibition of FAK promotes pancreatic cancer immunotherapy by mediating CXCL10 secretion to enhance CD8<sup>+</sup> T cell infiltration.,Yu-Chen Shi; Qingling An; Na Tang; Yong-Qiang Zhang; Shu-Qiao Xing; Fan Song; Xiao-Qiang Li,Oncoimmunology,2025,True,"Key Laboratory of Gastrointestinal Pharmacology of Chinese Materia Medica of the State Administration of Traditional Chinese Medicine, Department of Chinese Materia Medica and Natural Medicines, School of Pharmacy, Air Force Medical University, Xi'an, Shaanxi, China.; College of Basic Medicine, Air Force Medical University, Xi'an, Shaanxi, China.; Laboratory Animal Center, Air Force Medical University, Xi'an, Shaanxi, China.; Key Laboratory of Gastrointestinal Pharmacology of Chinese Materia Medica of the State Administration of Traditional Chinese Medicine, Department of Chinese Materia Medica and Natural Medicines, School of Pharmacy, Air Force Medical University, Xi'an, Shaanxi, China.; Key Laboratory of Gastrointestinal Pharmacology of Chinese Materia Medica of the State Administration of Traditional Chinese Medicine, Department of Chinese Materia Medica and Natural Medicines, School of Pharmacy, Air Force Medical University, Xi'an, Shaanxi, China.; Key Laboratory of Gastrointestinal Pharmacology of Chinese Materia Medica of the State Administration of Traditional Chinese Medicine, Department of Chinese Materia Medica and Natural Medicines, School of Pharmacy, Air Force Medical University, Xi'an, Shaanxi, China.; Key Laboratory of Gastrointestinal Pharmacology of Chinese Materia Medica of the State Administration of Traditional Chinese Medicine, Department of Chinese Materia Medica and Natural Medicines, School of Pharmacy, Air Force Medical University, Xi'an, Shaanxi, China.; Key Laboratory of Gastrointestinal Pharmacology of Chinese Materia Medica of the State Administration of Traditional Chinese Medicine, Department of Chinese Materia Medica and Natural Medicines, School of Pharmacy, Air Force Medical University, Xi'an, Shaanxi, China."
40726054,Immunological Impact of Oncolytic Adenoviruses On Cancer Therapy: Clinical Insights.,Reza Nadafi; Wenliang Dong; Victor W van Beusechem,European journal of immunology,2025,False,"ORCA Therapeutics B.V., 's-Hertogenbosch, The Netherlands.; ORCA Therapeutics B.V., 's-Hertogenbosch, The Netherlands.; ORCA Therapeutics B.V., 's-Hertogenbosch, The Netherlands.; Amsterdam UMC Location Vrije Universiteit Amsterdam, Medical Oncology, Amsterdam, The Netherlands.; Cancer Center Amsterdam, Cancer Biology and Immunology, Amsterdam, The Netherlands.; Amsterdam Institute for Immunology and Infectious Diseases, Amsterdam, The Netherlands."
